Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Seating_Capacity,Type,Power.1,Torque.1
Hyundai,Santro,Era Mt,"₹ 429,990.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,Manual,69,99.04
Hyundai,Santro,Magna Mt,"₹ 503,990.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,Manual,69,99.04
Hyundai,Santro,Magna Mt Cng,"₹ 547,990.000000000000000",1086,4,35,CNG,1560,3610,1645,Hatchback,5,Manual,59,99.04
Hyundai,Santro,Magna Amt,"₹ 530,990.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,AMT,69,10.1
Hyundai,Santro,Sportz Mt,"₹ 512,990.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,Manual,69,10.1
Hyundai,Santro,Sportz Mt Cng,"₹ 578,990.000000000000000",1086,4,60,CNG,1560,3610,1645,Hatchback,5,Manual,59,8.3
Hyundai,Santro,Sportz Amt,"₹ 570,990.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,AMT,69,10.1
Hyundai,Santro,Asta Mt,"₹ 556,490.000000000000000",1086,4,35,Petrol,1560,3610,1645,Hatchback,5,Manual,69,99.04
Tata,Tiago,Revotron Xe,"₹ 460,000.000000000000000",1199,3,35,Petrol,1535,3765,1677,Hatchback,5,Manual,86,114
Hyundai,Aura,E 1.2 Petrol,"₹ 579,900.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Manual,83,114
Hyundai,Aura,S 1.2 Petrol,"₹ 655,900.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Manual,83,114
Hyundai,Aura,S 1.2 Amt Petrol,"₹ 705,800.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Automatic,83,114
Hyundai,Aura,Sx 1.2 Petrol,"₹ 729,900.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Manual,83,114
Hyundai,Aura,Sx Plus 1.2 Amt Petrol,"₹ 804,800.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Automatic,83,114
Hyundai,Aura,Sx (O) 1.2 Petrol,"₹ 785,900.000000000000000",1197,0,37,Petrol,1520,3995,1680,Sedan,5,Manual,83,114
Hyundai,Aura,Sx Plus 1.0 Petrol,"₹ 854,900.000000000000000",998,0,37,Petrol,1520,3995,1680,Sedan,5,Manual,100,172
Hyundai,Aura,S 1.2 Diesel,"₹ 773,800.000000000000000",1186,0,37,Diesel,1520,3995,1680,Sedan,5,Manual,75,190
Hyundai,Aura,S 1.2 Amt Diesel,"₹ 823,700.000000000000000",1186,0,37,Diesel,1520,3995,1680,Sedan,5,Automatic,75,190
Hyundai,Aura,Sx Plus 1.2 Amt Diesel,"₹ 922,700.000000000000000",1186,0,37,Diesel,1520,3995,1680,Sedan,5,Automatic,75,190
